68,57,52
66,56,57
71,55,57
70,53,62
73,51,56
72,58,51
72,63,46
71,61,48
70,56,57
71,60,51
70,62,51
70,63,50
71,62,53
73,60,50
72,62,49
72,62,50
72,63,50
74,60,51
73,57,59
74,56,61
73,55,60
74,57,58
75,56,57
75,58,55
74,60,54
73,55,57
76,59,54
74,61,55
75,58,53
71,61,56
74,56,59
79,60,51
73,61,56
73,62,57
78,63,55
77,59,56
74,59,60
74,62,57
74,57,62
79,58,59
78,59,56
78,59,54
77,60,51
78,62,49
74,61,56
71,63,57
73,59,63
74,56,66
74,58,65
77,60,58
80,63,48
81,62,46
79,62,52
79,64,50
76,63,53
75,60,57
78,59,57
76,57,61
74,55,65
76,60,54
75,62,50
75,62,44
75,64,50
71,61,53
78,58,57
77,56,61
77,60,55
75,61,58
74,58,62
74,59,59
74,61,53
75,60,54
74,59,55
77,59,55
77,60,56
78,60,56
77,63,56
74,59,55
76,61,53
74,60,57
77,61,56
76,62,52
75,62,55
71,61,60
73,61,60
70,57,62
77,59,57
76,60,57
75,62,55
71,61,59
73,61,58
69,63,58
70,65,56
71,65,55
75,63,51
75,62,50
71,61,56
70,61,60
74,59,59
74,60,59
68,61,52
68,60,55
70,57,57
72,57,54
70,56,54
73,61,50
71,62,48
71,61,48
73,58,54
76,61,48
73,60,52
72,62,53
74,57,56
74,61,50
72,62,51
74,63,48
74,61,49
73,61,53
71,56,60
74,58,59
73,58,58
75,58,57
73,59,57
71,58,59
73,60,54
76,61,54
75,60,55
76,58,56
75,59,57
74,62,57
71,58,61
73,57,59
72,60,60
74,63,56
75,60,57
77,58,59
76,59,61
73,59,60
72,59,60
77,58,57
80,59,53
79,61,57
76,61,56
76,60,58
74,59,61
74,60,61
76,60,59
74,60,61
74,60,59
77,60,55
81,59,52
79,63,54
78,60,55
80,61,52
80,62,52
79,61,54
78,60,55
78,59,55
79,59,54
78,61,52
79,59,52
77,60,49
77,62,50
76,58,58
76,54,63
75,57,60
75,62,57
75,61,55
76,59,57
78,58,61
74,60,57
76,63,55
78,63,54
76,59,60
77,58,59
74,58,59
75,60,55
79,62,50
76,61,53
75,62,54
76,60,56
75,60,57
75,59,59
76,57,58
77,60,55
74,61,57
77,58,60
76,57,60
74,61,56
75,61,57
75,59,58
74,59,60
75,60,56
74,62,54
75,60,53
75,61,54
72,60,58
72,62,60
76,61,57
75,57,60
68,58,54
69,62,52
71,60,50
73,62,50
68,58,58
73,57,56
73,56,56
70,60,56
72,60,53
76,63,45
75,61,53
75,58,54
76,54,55
75,62,50
73,63,53
75,62,48
74,60,52
72,60,56
72,56,61
74,58,56
74,62,54
70,59,59
70,61,59
72,64,56
