68,60,52
72,60,48
70,57,53
70,61,49
69,55,58
71,59,57
71,60,55
72,62,48
73,59,52
76,56,53
70,57,56
72,60,53
74,58,54
75,61,49
76,60,48
75,58,53
73,56,57
74,61,51
78,59,48
77,58,51
75,62,47
76,61,51
78,59,51
76,57,54
76,58,57
76,59,50
76,58,55
79,59,51
76,63,49
77,61,50
75,59,55
73,59,56
75,61,55
74,61,58
75,61,56
73,62,54
76,62,55
76,61,59
77,61,54
78,60,54
76,60,56
78,64,52
75,62,57
76,59,57
78,61,54
75,62,57
77,60,56
79,58,56
76,58,57
75,59,59
77,59,55
79,58,56
77,59,56
77,56,65
77,58,57
78,59,54
76,63,55
77,64,52
75,59,61
76,62,55
75,60,59
74,59,61
74,63,57
76,58,60
72,60,49
75,60,48
72,61,48
72,59,52
73,58,55
75,58,52
75,58,51
75,57,50
75,57,52
76,58,50
74,59,50
75,58,50
78,58,48
76,59,50
75,57,51
75,58,53
74,57,56
75,59,54
76,60,52
79,58,49
76,60,49
76,59,53
77,61,49
76,57,57
76,61,53
75,60,57
75,59,57
79,59,54
77,59,54
76,58,57
76,59,57
75,60,55
75,62,57
75,60,58
76,59,59
78,58,58
77,59,58
77,60,58
78,59,58
79,61,56
77,61,57
77,62,57
77,62,56
78,61,57
75,61,61
76,61,61
76,60,60
79,60,56
78,56,62
78,57,61
77,61,58
80,59,55
80,60,56
77,61,59
79,57,61
80,59,55
78,60,57
76,61,59
77,60,60
77,62,56
76,61,59
76,59,60
76,62,59
77,59,60
72,59,53
72,60,54
72,60,53
72,61,51
72,61,52
76,58,52
78,58,47
76,58,49
75,58,53
74,56,56
75,60,53
76,60,51
75,60,52
75,56,56
74,59,53
76,59,53
75,58,55
76,59,53
76,60,56
78,61,51
77,61,52
78,59,54
76,60,54
78,59,54
79,60,52
77,59,54
76,63,49
78,59,50
78,59,53
77,60,55
76,60,57
81,61,49
79,62,52
76,58,60
79,57,59
81,59,56
78,58,58
76,59,60
78,59,59
79,57,59
78,59,59
78,60,58
78,62,58
78,63,60
78,64,60
77,61,60
78,62,55
81,58,58
79,59,60
79,58,60
78,59,60
79,58,59
81,56,59
78,60,59
78,59,59
79,59,61
78,60,58
79,61,55
77,62,56
78,61,57
76,62,58
78,61,56
78,61,58
76,60,61
74,61,47
72,57,56
74,59,52
73,60,50
75,61,47
74,57,54
75,58,50
77,60,49
75,58,51
74,58,53
75,61,52
74,60,54
74,61,52
76,59,52
76,62,48
75,61,51
77,61,52
77,60,52
77,59,55
77,61,53
76,58,57
78,58,55
78,58,57
78,58,55
78,56,58
78,60,53
79,60,51
79,60,53
79,58,54
78,62,53
79,59,55
82,58,54
78,60,58
78,58,59
79,55,61
79,58,57
77,61,58
77,60,59
78,59,60
80,58,60
79,58,59
78,57,62
80,61,57
79,61,58
77,63,59
79,63,56
82,62,53
81,58,58
81,60,56
81,61,57
79,62,58
78,64,56
80,61,58
80,61,56
79,60,59
79,61,59
79,61,58
79,63,54
79,62,58
78,59,60
77,63,53
77,62,56
77,64,58
74,62,60
73,60,51
75,57,53
75,60,50
74,61,50
76,60,49
75,59,50
78,62,44
76,59,52
77,59,52
78,60,49
76,62,49
74,60,54
75,60,52
76,60,51
76,61,50
74,61,53
76,57,56
78,58,54
78,58,52
77,59,52
77,58,56
76,57,58
78,59,54
76,58,58
79,57,56
79,60,52
80,58,55
79,61,52
79,59,58
79,60,53
81,57,57
80,59,57
79,59,57
78,60,56
77,58,60
80,58,57
80,60,56
78,61,57
79,61,54
80,60,57
79,59,62
78,60,62
80,63,56
78,61,60
80,61,59
79,63,57
79,63,57
81,61,54
81,60,56
79,61,59
80,64,56
80,61,60
79,58,64
80,61,59
79,60,58
78,63,57
80,60,59
79,59,62
77,59,64
80,60,59
78,60,58
75,62,60
76,63,59
77,62,59
74,59,49
76,56,53
73,59,56
74,59,55
75,59,52
77,62,46
78,61,47
77,59,51
74,58,54
76,57,56
77,61,49
76,60,53
78,57,55
77,57,55
75,59,54
75,59,58
77,58,59
79,58,56
78,58,53
79,58,54
76,58,57
79,58,55
77,59,57
75,61,58
76,60,58
77,58,58
77,55,61
79,60,55
77,61,57
80,62,53
81,61,53
80,61,53
79,61,55
79,62,52
78,59,57
79,59,57
81,61,54
80,62,54
81,64,50
80,62,56
78,59,61
81,63,55
80,61,56
81,60,58
81,61,58
78,62,59
79,65,54
81,65,49
81,62,53
81,62,57
79,62,60
80,60,64
79,60,61
80,61,56
79,62,57
80,63,57
80,59,62
80,60,61
79,60,59
79,58,61
77,60,61
78,61,60
78,62,58
79,61,56
73,57,54
72,57,57
75,59,54
73,57,56
75,59,52
77,58,50
75,58,55
76,57,55
78,57,54
78,59,51
80,61,47
79,57,53
77,58,55
77,58,56
79,58,53
76,61,55
79,58,54
79,61,53
78,60,54
79,61,54
79,61,55
79,61,53
80,57,57
76,60,59
76,62,56
78,59,58
78,58,61
77,59,60
78,61,55
79,58,57
79,61,57
78,62,55
80,61,56
81,59,56
80,57,58
79,59,61
81,61,57
80,60,59
80,60,57
80,61,57
80,60,57
79,60,59
82,63,53
80,61,59
80,59,60
79,62,59
81,60,59
83,64,53
82,60,59
81,60,61
80,63,58
81,61,60
80,63,55
77,63,62
81,62,56
79,62,56
78,62,61
78,62,60
79,61,58
80,58,62
80,60,59
80,61,57
78,62,56
80,60,57
71,59,54
75,62,48
74,59,52
73,62,52
77,62,46
80,61,43
74,60,55
77,57,55
77,58,53
78,60,50
80,57,53
78,58,56
78,60,52
77,57,58
79,59,51
79,59,53
80,59,52
80,61,51
79,59,55
79,57,56
79,60,54
80,58,55
81,57,54
79,56,58
79,60,55
78,61,56
79,59,57
77,60,59
78,61,56
81,59,56
80,61,56
79,60,57
79,58,59
81,60,56
80,58,61
81,60,58
84,61,53
81,59,59
80,61,57
80,59,62
80,61,59
80,61,57
78,62,59
80,65,56
81,63,57
81,60,61
81,62,59
82,63,56
83,61,57
82,62,59
80,61,59
81,61,61
80,62,59
78,62,61
80,62,59
81,63,56
79,63,58
79,61,59
79,60,59
82,61,57
81,59,57
77,59,62
78,61,60
82,62,54
73,57,55
74,59,53
77,61,46
78,60,47
77,63,45
77,62,48
76,60,52
